stage,source_pdf,base,lines,words,chars
raw,0001.pdf,0001,3711,45209,284029
raw,0002.pdf,0002,13662,136272,906535
raw,0003.pdf,0003,12143,116477,732794
raw,0004.pdf,0004,2316,24282,155330
raw,0005.pdf,0005,6486,63160,402099
raw,0006.pdf,0006,7848,86378,563863
raw,0007.pdf,0007,23688,178140,1137999
raw,0008.pdf,0008,9808,103821,703516
raw,0009.pdf,0009,6208,67660,412607
raw,0010.pdf,0010,2242,25650,165244
raw,0011.pdf,0011,286,2819,17632
raw,0012.pdf,0012,525,5290,33987
raw,0013.pdf,0013,142,1372,9032
raw,0014.pdf,0014,283,2839,17436
raw,0015.pdf,0015,1573,15227,105067
raw,0016.pdf,0016,723,7606,49532
raw,0017.pdf,0017,1755,17580,115139
raw,0018.pdf,0018,855,8322,54197
raw,0019.pdf,0019,2576,24800,159840
raw,0020.pdf,0020,1139,12444,82029
raw,0021.pdf,0021,88,883,5528
raw,0022.pdf,0022,767,8168,54811
raw,0023.pdf,0023,831,8457,55179
raw,0024.pdf,0024,2594,27960,188550
raw,0025.pdf,0025,564,6136,39970
raw,0026.pdf,0026,427,3395,21614
raw,0027.pdf,0027,1570,14972,98334
raw,0028.pdf,0028,145,1373,8707
raw,0029.pdf,0029,1417,14886,98670
raw,0030.pdf,0030,362,3098,21145
raw,0031.pdf,0031,71,716,4411
raw,0032.pdf,0032,1125,11439,74845
raw,0033.pdf,0033,648,6760,44085
raw,0034.pdf,0034,295,3176,19582
raw,0035.pdf,0035,863,9226,59396
raw,0036.pdf,0036,262,2770,18484
raw,0037.pdf,0037,1071,11002,71702
raw,0038.pdf,0038,1935,21125,138609
raw,0039.pdf,0039,778,6870,44560
raw,0040.pdf,0040,706,6656,46077
raw,0041.pdf,0041,619,5832,39052
raw,0042.pdf,0042,431,4389,29547
raw,0043.pdf,0043,909,9255,61353
raw,0044.pdf,0044,923,9176,60024
raw,0045.pdf,0045,1064,9959,64789
raw,0046.pdf,0046,488,5301,34210
raw,0047.pdf,0047,2629,27537,182293
raw,0048.pdf,0048,516,5393,35973
raw,0049.pdf,0049,2931,32156,214580
raw,0050.pdf,0050,3752,38758,259009
raw,0051.pdf,0051,1102,12140,78059
raw,0052.pdf,0052,1496,14927,95134
raw,0053.pdf,0053,3070,32771,217571
raw,0054.pdf,0054,1791,17044,118199
raw,0055.pdf,0055,2230,24505,159656
raw,0056.pdf,0056,737,8357,54374
raw,0057.pdf,0057,600,5861,38996
raw,0058.pdf,0058,614,6446,42225
raw,0059.pdf,0059,868,8961,59051
raw,0060.pdf,0060,3273,27301,177731
raw,0061.pdf,0061,371,3662,24226
raw,0062.pdf,0062,1590,18090,113303
raw,0063.pdf,0063,299,2915,18759
raw,0064.pdf,0064,162,1649,10779
raw,0065.pdf,0065,461,4831,31238
raw,0066.pdf,0066,1192,12519,85275
raw,0067.pdf,0067,3199,34613,219516
raw,0068.pdf,0068,1807,18749,126767
raw,0069.pdf,0069,2904,32561,226386
raw,0070.pdf,0070,3625,27756,186148
raw,0071.pdf,0071,1777,20312,127532
raw,0072.pdf,0072,1530,14353,93205
raw,0073.pdf,0073,4028,43102,277167
raw,0074.pdf,0074,696,6765,44018
raw,0075.pdf,0075,434,4077,26423
raw,0076.pdf,0076,452,4800,30610
raw,0077.pdf,0077,551,5868,38074
raw,0078.pdf,0078,970,9876,67199
raw,0079.pdf,0079,1321,13259,88911
raw,0080.pdf,0080,607,5899,40021
raw,0081.pdf,0081,467,4505,29969
raw,0082.pdf,0082,423,4401,28709
raw,0083.pdf,0083,430,4304,27571
raw,0084.pdf,0084,728,5998,39176
raw,0085.pdf,0085,310,3055,20453
raw,0086.pdf,0086,961,9726,65249
raw,0087.pdf,0087,242,2339,15555
raw,0088.pdf,0088,1313,11193,73053
raw,0089.pdf,0089,397,4199,27773
raw,0090.pdf,0090,469,4992,32647
raw,0091.pdf,0091,361,3338,21643
raw,0092.pdf,0092,185,1858,11773
raw,0093.pdf,0093,266,2448,16551
raw,0094.pdf,0094,276,2557,17089
raw,0095.pdf,0095,327,2905,19566
raw,0096.pdf,0096,256,2583,16605
raw,0097.pdf,0097,484,4675,31672
raw,0098.pdf,0098,366,3291,21762
raw,0099.pdf,0099,390,3847,26267
raw,0100.pdf,0100,349,3419,23145
raw,0101.pdf,0101,312,3168,20835
raw,0102.pdf,0102,365,3387,22698
raw,0103.pdf,0103,270,2391,16032
raw,0104.pdf,0104,342,3134,20830
raw,0105.pdf,0105,389,3654,24535
raw,0106.pdf,0106,363,3345,22730
raw,0107.pdf,0107,231,1577,10758
raw,0108.pdf,0108,357,3315,21704
raw,0109.pdf,0109,240,2254,14839
raw,0110.pdf,0110,362,3763,24481
raw,0111.pdf,0111,435,4191,28664
raw,0112.pdf,0112,826,7846,51560
raw,0113.pdf,0113,246,1769,11703
raw,0114.pdf,0114,247,1771,11727
raw,0115.pdf,0115,259,1723,11322
raw,0116.pdf,0116,262,1761,11636
raw,0117.pdf,0117,204,1798,11777
raw,0118.pdf,0118,261,1761,11499
raw,0119.pdf,0119,260,1723,11372
raw,0120.pdf,0120,246,1771,11751
raw,0121.pdf,0121,198,1756,11546
raw,0122.pdf,0122,260,1722,11324
raw,0123.pdf,0123,260,1723,11358
raw,0124.pdf,0124,247,1771,11822
raw,0125.pdf,0125,197,1723,11284
raw,0126.pdf,0126,262,1724,11379
raw,0127.pdf,0127,203,1758,11551
raw,0128.pdf,0128,260,1723,11358
raw,0129.pdf,0129,253,1718,11390
raw,0130.pdf,0130,264,1807,12038
raw,0131.pdf,0131,247,1771,11822
raw,0132.pdf,0132,247,1771,11750
raw,0133.pdf,0133,207,1844,12283
raw,0134.pdf,0134,299,1947,12981
raw,0135.pdf,0135,206,1770,11718
raw,0136.pdf,0136,206,1822,11981
raw,0137.pdf,0137,206,1790,11796
raw,0138.pdf,0138,196,1722,11334
raw,0139.pdf,0139,205,1771,11708
raw,0140.pdf,0140,203,1776,11610
raw,0141.pdf,0141,260,1723,11393
raw,0142.pdf,0142,198,1776,11501
raw,0143.pdf,0143,206,1771,11707
raw,0144.pdf,0144,203,1763,11626
raw,0145.pdf,0145,260,1723,11443
raw,0146.pdf,0146,257,1741,11451
raw,0147.pdf,0147,197,1723,11380
raw,0148.pdf,0148,207,1834,11849
raw,0149.pdf,0149,204,1800,11642
raw,0150.pdf,0150,204,1770,11697
raw,0151.pdf,0151,198,1766,11575
raw,0152.pdf,0152,255,1742,11494
raw,0153.pdf,0153,257,1722,11392
raw,0154.pdf,0154,184,1616,10739
raw,0155.pdf,0155,207,1771,11697
raw,0156.pdf,0156,204,1771,11705
raw,0157.pdf,0157,260,1723,11411
raw,0158.pdf,0158,262,1837,12134
raw,0159.pdf,0159,205,1771,11640
raw,0160.pdf,0160,260,1723,11391
raw,0161.pdf,0161,221,2084,13751
raw,0162.pdf,0162,203,1770,11747
raw,0163.pdf,0163,316,2972,20084
raw,0164.pdf,0164,205,1771,11691
raw,0165.pdf,0165,332,2773,18966
raw,0166.pdf,0166,199,1735,11478
raw,0167.pdf,0167,260,1723,11415
raw,0168.pdf,0168,260,1723,11340
raw,0169.pdf,0169,260,1723,11318
raw,0170.pdf,0170,258,1748,11682
raw,0171.pdf,0171,198,1732,11484
raw,0172.pdf,0172,260,1723,11321
raw,0173.pdf,0173,260,1723,11374
raw,0174.pdf,0174,259,1723,11302
raw,0175.pdf,0175,261,1780,11564
raw,0176.pdf,0176,245,1827,12012
raw,0177.pdf,0177,217,2055,13403
raw,0178.pdf,0178,262,1799,11756
raw,0179.pdf,0179,261,1761,11507
raw,0180.pdf,0180,200,1742,11427
raw,0181.pdf,0181,260,1742,11414
raw,0182.pdf,0182,205,1772,11645
raw,0183.pdf,0183,258,2469,16724
raw,0184.pdf,0184,184,1616,10739
raw,0185.pdf,0185,246,1771,11793
raw,0186.pdf,0186,203,1761,11650
raw,0187.pdf,0187,206,1805,11927
raw,0188.pdf,0188,247,1771,11822
raw,0189.pdf,0189,205,1718,11290
raw,0190.pdf,0190,260,1723,11413
raw,0191.pdf,0191,258,2373,15179
raw,0192.pdf,0192,261,1761,11542
raw,0193.pdf,0193,200,1754,11584
raw,0194.pdf,0194,246,1771,11820
raw,0195.pdf,0195,246,1771,11838
raw,0196.pdf,0196,196,1722,11333
raw,0197.pdf,0197,241,1766,11811
raw,0198.pdf,0198,199,1756,11575
raw,0199.pdf,0199,260,1723,11451
raw,0200.pdf,0200,260,1723,11440
raw,0201.pdf,0201,225,1986,13098
raw,0202.pdf,0202,194,1685,11247
raw,0203.pdf,0203,259,1724,11360
raw,0204.pdf,0204,205,1773,11693
raw,0205.pdf,0205,252,1738,11513
raw,0206.pdf,0206,229,2132,14132
raw,0207.pdf,0207,260,1723,11377
raw,0208.pdf,0208,251,1821,12229
raw,0209.pdf,0209,275,2592,17307
raw,0210.pdf,0210,202,1756,11552
raw,0211.pdf,0211,247,1809,11818
raw,0212.pdf,0212,229,2045,13614
raw,0213.pdf,0213,290,2637,17466
raw,0214.pdf,0214,206,1809,11771
raw,0215.pdf,0215,260,1742,11472
raw,0216.pdf,0216,260,1742,11476
raw,0217.pdf,0217,255,1718,11367
raw,0218.pdf,0218,203,1757,11620
raw,0219.pdf,0219,206,1790,11802
raw,0220.pdf,0220,204,1765,11718
raw,0221.pdf,0221,210,1815,12029
raw,0222.pdf,0222,248,1771,11768
raw,0223.pdf,0223,307,2903,19321
raw,0224.pdf,0224,250,2423,15902
raw,0225.pdf,0225,269,2453,16366
raw,0226.pdf,0226,379,3874,25430
raw,0227.pdf,0227,725,8135,52427
raw,0228.pdf,0228,715,7466,46737
raw,0229.pdf,0229,441,4667,30880
raw,0230.pdf,0230,1495,16506,106048
raw,0231.pdf,0231,169,1552,10361
raw,0232.pdf,0232,1234,13210,85233
raw,0233.pdf,0233,611,6534,41688
raw,0234.pdf,0234,430,4415,28445
raw,0235.pdf,0235,177,1573,9353
