stage,source_raw,base,lines,words,chars
clean,raw_0001.txt,0001,678,44619,275725
clean,raw_0002.txt,0002,4021,135703,880016
clean,raw_0003.txt,0003,3701,118129,722367
clean,raw_0004.txt,0004,694,24192,150210
clean,raw_0005.txt,0005,1828,64013,396930
clean,raw_0006.txt,0006,2061,85865,551809
clean,raw_0007.txt,0007,5908,176017,1081778
clean,raw_0008.txt,0008,2204,104094,687037
clean,raw_0009.txt,0009,1493,66788,397603
clean,raw_0010.txt,0010,516,25416,160968
clean,raw_0011.txt,0011,68,2807,17427
clean,raw_0012.txt,0012,188,5268,33444
clean,raw_0013.txt,0013,42,1358,8869
clean,raw_0014.txt,0014,81,2858,17170
clean,raw_0015.txt,0015,335,15108,102077
clean,raw_0016.txt,0016,207,7565,48535
clean,raw_0017.txt,0017,373,17530,114501
clean,raw_0018.txt,0018,250,8344,52812
clean,raw_0019.txt,0019,701,24522,155631
clean,raw_0020.txt,0020,290,12501,80940
clean,raw_0021.txt,0021,23,881,5416
clean,raw_0022.txt,0022,162,8207,53682
clean,raw_0023.txt,0023,273,8487,54281
clean,raw_0024.txt,0024,582,27883,183750
clean,raw_0025.txt,0025,149,6108,39172
clean,raw_0026.txt,0026,115,3321,20516
clean,raw_0027.txt,0027,305,14873,95647
clean,raw_0028.txt,0028,55,1358,8565
clean,raw_0029.txt,0029,404,14918,96798
clean,raw_0030.txt,0030,76,3069,20169
clean,raw_0031.txt,0031,20,705,4337
clean,raw_0032.txt,0032,273,11383,73286
clean,raw_0033.txt,0033,182,6730,43105
clean,raw_0034.txt,0034,74,3164,19308
clean,raw_0035.txt,0035,271,9316,58489
clean,raw_0036.txt,0036,68,2765,18174
clean,raw_0037.txt,0037,331,10985,69672
clean,raw_0038.txt,0038,444,20979,135369
clean,raw_0039.txt,0039,201,6762,43148
clean,raw_0040.txt,0040,143,6655,44903
clean,raw_0041.txt,0041,169,5823,38260
clean,raw_0042.txt,0042,126,4419,29018
clean,raw_0043.txt,0043,269,9181,60035
clean,raw_0044.txt,0044,182,9207,58834
clean,raw_0045.txt,0045,321,9807,62908
clean,raw_0046.txt,0046,141,5234,33101
clean,raw_0047.txt,0047,610,27392,178705
clean,raw_0048.txt,0048,142,5379,35251
clean,raw_0049.txt,0049,669,32035,210155
clean,raw_0050.txt,0050,1074,38861,253834
clean,raw_0051.txt,0051,299,12181,76783
clean,raw_0052.txt,0052,420,14754,92571
clean,raw_0053.txt,0053,797,32906,214021
clean,raw_0054.txt,0054,444,16985,115546
clean,raw_0055.txt,0055,562,24449,156168
clean,raw_0056.txt,0056,161,8401,53590
clean,raw_0057.txt,0057,230,5859,38328
clean,raw_0058.txt,0058,171,6463,41571
clean,raw_0059.txt,0059,253,8989,57982
clean,raw_0060.txt,0060,726,27144,173243
clean,raw_0061.txt,0061,95,3650,23662
clean,raw_0062.txt,0062,455,18225,111696
clean,raw_0063.txt,0063,95,2939,18383
clean,raw_0064.txt,0064,41,1645,10593
clean,raw_0065.txt,0065,133,4832,30600
clean,raw_0066.txt,0066,311,12478,83579
clean,raw_0067.txt,0067,804,34714,214837
clean,raw_0068.txt,0068,339,18690,123673
clean,raw_0069.txt,0069,346,32185,219149
clean,raw_0070.txt,0070,1111,27501,179070
clean,raw_0071.txt,0071,462,19450,119675
clean,raw_0072.txt,0072,420,14271,92198
clean,raw_0073.txt,0073,996,42187,265400
clean,raw_0074.txt,0074,123,6776,43230
clean,raw_0075.txt,0075,102,4045,25839
clean,raw_0076.txt,0076,107,4764,29840
clean,raw_0077.txt,0077,109,5845,37377
clean,raw_0078.txt,0078,250,9825,65253
clean,raw_0079.txt,0079,312,13287,86979
clean,raw_0080.txt,0080,188,5913,39230
clean,raw_0081.txt,0081,137,4510,29775
clean,raw_0082.txt,0082,115,4400,28117
clean,raw_0083.txt,0083,154,4271,26861
clean,raw_0084.txt,0084,182,5981,38134
clean,raw_0085.txt,0085,99,3031,19795
clean,raw_0086.txt,0086,249,9789,63856
clean,raw_0087.txt,0087,76,2346,15279
clean,raw_0088.txt,0088,281,10767,68942
clean,raw_0089.txt,0089,117,4202,27385
clean,raw_0090.txt,0090,135,4999,32113
clean,raw_0091.txt,0091,115,3230,20678
clean,raw_0092.txt,0092,46,1854,11572
clean,raw_0093.txt,0093,87,2448,16216
clean,raw_0094.txt,0094,88,2578,16884
clean,raw_0095.txt,0095,116,2916,19059
clean,raw_0096.txt,0096,77,2587,16381
clean,raw_0097.txt,0097,106,4653,30961
clean,raw_0098.txt,0098,107,3299,21270
clean,raw_0099.txt,0099,94,3823,25413
clean,raw_0100.txt,0100,103,3424,22821
clean,raw_0101.txt,0101,73,3167,20516
clean,raw_0102.txt,0102,114,3397,22292
clean,raw_0103.txt,0103,88,2406,15721
clean,raw_0104.txt,0104,117,3142,20486
clean,raw_0105.txt,0105,125,3661,23890
clean,raw_0106.txt,0106,125,3337,22289
clean,raw_0107.txt,0107,69,1573,10490
clean,raw_0108.txt,0108,115,3329,21265
clean,raw_0109.txt,0109,72,2236,14533
clean,raw_0110.txt,0110,99,3766,24079
clean,raw_0111.txt,0111,133,4210,28130
clean,raw_0112.txt,0112,100,7771,49951
clean,raw_0113.txt,0113,81,1770,11429
clean,raw_0114.txt,0114,82,1772,11469
clean,raw_0115.txt,0115,79,1722,11119
clean,raw_0116.txt,0116,79,1760,11423
clean,raw_0117.txt,0117,81,1845,11739
clean,raw_0118.txt,0118,78,1760,11309
clean,raw_0119.txt,0119,79,1722,11157
clean,raw_0120.txt,0120,80,1772,11488
clean,raw_0121.txt,0121,77,1767,11447
clean,raw_0122.txt,0122,78,1722,11119
clean,raw_0123.txt,0123,79,1722,11157
clean,raw_0124.txt,0124,82,1772,11545
clean,raw_0125.txt,0125,78,1732,11197
clean,raw_0126.txt,0126,78,1723,11163
clean,raw_0127.txt,0127,78,1768,11438
clean,raw_0128.txt,0128,79,1722,11157
clean,raw_0129.txt,0129,78,1722,11176
clean,raw_0130.txt,0130,82,1807,11816
clean,raw_0131.txt,0131,81,1772,11545
clean,raw_0132.txt,0132,82,1772,11488
clean,raw_0133.txt,0133,80,1854,12170
clean,raw_0134.txt,0134,97,1952,12748
clean,raw_0135.txt,0135,82,1779,11572
clean,raw_0136.txt,0136,82,1832,11860
clean,raw_0137.txt,0137,81,1799,11672
clean,raw_0138.txt,0138,78,1732,11236
clean,raw_0139.txt,0139,81,1780,11559
clean,raw_0140.txt,0140,79,1786,11529
clean,raw_0141.txt,0141,78,1722,11177
clean,raw_0142.txt,0142,78,1787,11404
clean,raw_0143.txt,0143,81,1780,11557
clean,raw_0144.txt,0144,81,1772,11494
clean,raw_0145.txt,0145,80,1722,11232
clean,raw_0146.txt,0146,78,1741,11252
clean,raw_0147.txt,0147,76,1733,11290
clean,raw_0148.txt,0148,83,1843,11724
clean,raw_0149.txt,0149,80,1810,11568
clean,raw_0150.txt,0150,81,1779,11550
clean,raw_0151.txt,0151,77,1777,11485
clean,raw_0152.txt,0152,77,1746,11301
clean,raw_0153.txt,0153,79,1722,11195
clean,raw_0154.txt,0154,72,1625,10637
clean,raw_0155.txt,0155,81,1780,11564
clean,raw_0156.txt,0156,81,1780,11557
clean,raw_0157.txt,0157,79,1722,11195
clean,raw_0158.txt,0158,82,1841,11937
clean,raw_0159.txt,0159,81,1780,11519
clean,raw_0160.txt,0160,79,1722,11176
clean,raw_0161.txt,0161,80,2094,13571
clean,raw_0162.txt,0162,80,1780,11613
clean,raw_0163.txt,0163,89,2974,19769
clean,raw_0164.txt,0164,81,1780,11556
clean,raw_0165.txt,0165,150,2790,18708
clean,raw_0166.txt,0166,79,1746,11351
clean,raw_0167.txt,0167,79,1722,11176
clean,raw_0168.txt,0168,80,1722,11138
clean,raw_0169.txt,0169,79,1722,11117
clean,raw_0170.txt,0170,78,1752,11388
clean,raw_0171.txt,0171,78,1743,11358
clean,raw_0172.txt,0172,79,1722,11119
clean,raw_0173.txt,0173,80,1722,11173
clean,raw_0174.txt,0174,79,1722,11100
clean,raw_0175.txt,0175,82,1779,11362
clean,raw_0176.txt,0176,82,1829,11773
clean,raw_0177.txt,0177,89,2059,13316
clean,raw_0178.txt,0178,80,1798,11518
clean,raw_0179.txt,0179,80,1760,11306
clean,raw_0180.txt,0180,79,1751,11310
clean,raw_0181.txt,0181,80,1742,11215
clean,raw_0182.txt,0182,81,1780,11520
clean,raw_0183.txt,0183,77,2452,16417
clean,raw_0184.txt,0184,72,1625,10637
clean,raw_0185.txt,0185,81,1772,11507
clean,raw_0186.txt,0186,79,1771,11512
clean,raw_0187.txt,0187,81,1815,11825
clean,raw_0188.txt,0188,80,1772,11583
clean,raw_0189.txt,0189,80,1727,11187
clean,raw_0190.txt,0190,80,1722,11195
clean,raw_0191.txt,0191,89,2380,15072
clean,raw_0192.txt,0192,80,1760,11329
clean,raw_0193.txt,0193,79,1765,11456
clean,raw_0194.txt,0194,81,1772,11545
clean,raw_0195.txt,0195,80,1772,11564
clean,raw_0196.txt,0196,78,1732,11235
clean,raw_0197.txt,0197,81,1772,11545
clean,raw_0198.txt,0198,79,1767,11467
clean,raw_0199.txt,0199,78,1722,11233
clean,raw_0200.txt,0200,79,1722,11214
clean,raw_0201.txt,0201,90,2002,12984
clean,raw_0202.txt,0202,76,1695,11132
clean,raw_0203.txt,0203,80,1723,11159
clean,raw_0204.txt,0204,77,1783,11567
clean,raw_0205.txt,0205,77,1742,11302
clean,raw_0206.txt,0206,75,2129,13946
clean,raw_0207.txt,0207,79,1722,11176
clean,raw_0208.txt,0208,80,1822,11954
clean,raw_0209.txt,0209,105,2598,17096
clean,raw_0210.txt,0210,79,1766,11453
clean,raw_0211.txt,0211,81,1810,11602
clean,raw_0212.txt,0212,98,2060,13490
clean,raw_0213.txt,0213,112,2656,17340
clean,raw_0214.txt,0214,82,1818,11673
clean,raw_0215.txt,0215,79,1741,11271
clean,raw_0216.txt,0216,79,1741,11271
clean,raw_0217.txt,0217,80,1722,11176
clean,raw_0218.txt,0218,79,1767,11492
clean,raw_0219.txt,0219,81,1799,11680
clean,raw_0220.txt,0220,80,1812,11633
clean,raw_0221.txt,0221,78,1825,11903
clean,raw_0222.txt,0222,81,1771,11541
clean,raw_0223.txt,0223,99,2896,19049
clean,raw_0224.txt,0224,64,2427,15560
clean,raw_0225.txt,0225,82,2457,16087
clean,raw_0226.txt,0226,114,3878,25010
clean,raw_0227.txt,0227,186,8181,51576
clean,raw_0228.txt,0228,192,7448,46481
clean,raw_0229.txt,0229,113,4601,30029
clean,raw_0230.txt,0230,434,16463,104290
clean,raw_0231.txt,0231,63,1538,10116
clean,raw_0232.txt,0232,355,13285,84074
clean,raw_0233.txt,0233,205,6550,40979
clean,raw_0234.txt,0234,140,4470,28013
clean,raw_0235.txt,0235,34,1574,9256
