num_est,file_num,law_name,link
18,0042,Ley de Fiscalización y Rendición de Cuentas del Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-de-fiscalizacion-y-rendicion-de-cuentas-del-estado-de-nayarit/
18,0043,Ley de Fomento a las Actividades de las Organizaciones de la Sociedad Civil en el Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-de-fomento-a-las-actividades-de-las-organizaciones-de-la-sociedad-civil-en-el-estado-de-nayarit/
18,0044,Ley de Fomento al Turismo del Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-de-fomento-al-turismo-del-estado-de-nayarit/
18,0045,Ley de Fomento para la Creación de Libros y la Lectura del Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-de-fomento-para-la-creacion-de-libros-y-la-lectura-del-estado-de-nayarit/
18,0046,Ley de Fraccionamientos y Acciones de Urbanización del Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-de-fraccionamientos-y-acciones-de-urbanizacion-del-estado-de-nayarit/
18,0047,Ley de Gobierno Digital para el Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-de-gobierno-digital-para-el-estado-de-nayarit/
18,0048,Ley de Hacienda del Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-de-hacienda-del-estado-de-nayarit/
18,0049,Ley de Igualdad entre Mujeres y Hombres para el Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-de-igualdad-entre-mujeres-y-hombres/
18,0050,Ley de Imagen Institucional para el Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-de-imagen-institucional-para-el-estado-de-nayarit/
18,0051,Ley de Inversión Pública para el Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-de-inversion-publica-para-el-estado-de-nayarit/
18,0052,Ley de Justicia Alternativa para el Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-de-justicia-alternativa-para-el-estado-de-nayarit/
18,0053,Ley de Justicia Electoral para el Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-de-justicia-electoral-para-el-estado-de-nayarit/
