num_est,file_num,law_name,link
15,0001,Constitución Política del Estado de Estado de México,https://mexico.justia.com/estatales/mex/constitucion-politica-del-estado-libre-y-soberano-de-mexico/
15,0002,Código Administrativo del Estado de México,https://mexico.justia.com/estatales/mexico/codigos/codigo-administrativo-del-estado-de-mexico/
15,0003,Código Civil del Estado de México,https://mexico.justia.com/estatales/mexico/codigos/codigo-civil-del-estado-de-mexico/
15,0004,Código de Procedimientos Administrativos del Estado de México,https://mexico.justia.com/estatales/mexico/codigos/codigo-de-procedimientos-administrativos-del-estado-de-mexico/
15,0005,Código de Procedimientos Civiles del Estado de México,https://mexico.justia.com/estatales/mexico/codigos/codigo-de-procedimientos-civiles-del-estado-de-mexico/
15,0006,Código Electoral del Estado de México,https://mexico.justia.com/estatales/mexico/codigos/codigo-electoral-del-estado-de-mexico/
15,0007,Código Financiero del Estado de México y Municipios,https://mexico.justia.com/estatales/mexico/codigos/codigo-financiero-del-estado-de-mexico-y-municipios/
15,0008,Código para la Biodiversidad del Estado de México,https://mexico.justia.com/estatales/mexico/codigos/codigo-para-la-biodiversidad-del-estado-de-mexico/
15,0009,Código Penal del Estado de México,https://mexico.justia.com/estatales/mexico/codigos/codigo-penal-del-estado-de-mexico/
15,0010,Ley de Acceso de las Mujeres a una Vida Libre de Violencia del Estado de México,https://mexico.justia.com/estatales/mexico/leyes/ley-de-acceso-de-las-mujeres-a-una-vida-libre-de-violencia-del-estado-de-mexico/
15,0011,Ley de Amnistía del Estado de México,https://mexico.justia.com/estatales/mexico/leyes/ley-de-amnistia-del-estado-de-mexico/
15,0012,Ley de Apicultura del Estado de México,https://mexico.justia.com/estatales/mexico/leyes/ley-de-apicultura-del-estado-de-mexico/
15,0013,Ley de Apoyo a Migrantes del Estado de México,https://mexico.justia.com/estatales/mexico/leyes/ley-de-apoyo-a-migrantes-del-estado-de-mexico/
15,0014,Ley de Arancel para el Pago de Honorarios de Abogados y Costas Judiciales en el Estado de México,https://mexico.justia.com/estatales/mexico/leyes/ley-de-arancel-para-el-pago-de-honorarios-de-abogados-y-costas-judiciales-en-el-estado-de-mexico/
15,0015,Ley de Archivos y Administración de Documentos del Estado de México y Municipios,https://mexico.justia.com/estatales/mexico/leyes/ley-de-archivos-y-administracion-de-documentos-del-estado-de-mexico-y-municipios/
15,0016,Ley de Asistencia Social del Estado de México y Municipios,https://mexico.justia.com/estatales/mexico/leyes/ley-de-asistencia-social-del-estado-de-mexico-y-municipios/
15,0017,Ley de Asociaciones Público-Privadas del Estado de México y Municipios,https://mexico.justia.com/estatales/mexico/leyes/ley-de-asociaciones-publico-privadas-del-estado-de-mexico-y-municipios/
15,0018,Ley de Bienes del Estado de México y de sus Municipios,https://mexico.justia.com/estatales/mexico/leyes/ley-de-bienes-del-estado-de-mexico-y-sus-municipios/
15,0019,Ley de Competitividad y Ordenamiento Comercial del Estado de México,https://mexico.justia.com/estatales/mexico/leyes/ley-de-competitividad-y-ordenamiento-comercial-del-estado-de-mexico/
15,0020,Ley de Contratación Pública del Estado de México y Municipios,https://mexico.justia.com/estatales/mexico/leyes/ley-de-contratacion-publica-del-estado-de-mexico-y-municipios/
15,0021,Ley de Depósito Legal para el Estado de México,https://mexico.justia.com/estatales/mexico/leyes/ley-de-deposito-legal-para-el-estado-de-mexico/
15,0022,Ley de Derechos y Cultura Indígena del Estado de México,https://mexico.justia.com/estatales/mexico/leyes/ley-de-derechos-y-cultura-indigena-del-estado-de-mexico/
