stage,part,base,start_line,lines,words,chars
split,decreto,0061,0,8,97,529
split,ley,0061,8,617,20296,129207
split,transitorios,0061,625,38,815,4840
split,decreto,0062,0,5,62,357
split,ley,0062,5,394,10601,68627
split,transitorios,0062,399,16,413,2558
split,decreto,0063,0,7,102,620
split,ley,0063,7,33,977,5966
split,transitorios,0063,40,17,309,1842
split,decreto,0064,0,6,79,410
split,ley,0064,6,174,4070,26156
split,transitorios,0064,180,20,428,2511
split,decreto,0065,0,6,88,528
split,ley,0065,6,331,8599,55193
split,transitorios,0065,337,26,739,4544
split,decreto,0066,0,5,71,423
split,ley,0066,5,302,8402,56004
split,transitorios,0066,307,14,301,1834
split,decreto,0067,0,8,103,556
split,ley,0067,8,176,4349,28144
split,transitorios,0067,184,32,651,3896
split,decreto,0068,0,7,79,467
split,ley,0068,7,284,5822,38250
split,transitorios,0068,291,27,528,3157
split,decreto,0069,0,5,85,491
split,ley,0069,5,354,11488,73905
split,transitorios,0069,359,15,310,1869
split,decreto,0070,0,5,73,419
split,ley,0070,5,38,1034,6797
split,transitorios,0070,43,14,257,1577
split,decreto,0071,0,8,129,752
split,ley,0071,8,237,6623,41883
split,transitorios,0071,245,18,422,2590
split,decreto,0072,0,7,81,478
split,ley,0072,7,527,13043,84679
split,transitorios,0072,534,41,858,5117
split,decreto,0073,0,8,87,482
split,ley,0073,8,33,956,6196
split,transitorios,0073,41,9,165,958
split,decreto,0074,0,5,85,463
split,ley,0074,5,194,5682,36068
split,transitorios,0074,199,18,397,2422
split,decreto,0075,0,6,90,537
split,ley,0075,6,951,24551,157952
split,transitorios,0075,957,20,605,3728
split,decreto,0076,0,4,45,258
split,ley,0076,4,761,21910,140446
split,transitorios,0076,765,67,1930,11552
split,decreto,0077,0,5,83,491
split,ley,0077,5,380,10066,64496
split,transitorios,0077,385,14,260,1557
split,decreto,0078,0,7,94,550
split,ley,0078,7,130,3464,22873
split,transitorios,0078,137,20,487,3029
split,decreto,0079,0,6,80,422
split,ley,0079,6,145,4705,30365
split,transitorios,0079,151,26,476,2839
split,decreto,0080,0,6,94,561
split,ley,0080,6,863,30812,198981
split,transitorios,0080,869,44,2365,14846
split,decreto,0081,0,7,94,533
split,ley,0081,7,459,16739,109556
split,transitorios,0081,466,39,1007,6101
split,decreto,0082,0,7,74,447
split,ley,0082,7,272,7143,47098
split,transitorios,0082,279,32,662,4026
split,decreto,0083,0,7,92,502
split,ley,0083,7,1449,38169,250180
split,transitorios,0083,1456,120,2611,15835
split,decreto,0084,0,7,91,495
split,ley,0084,7,121,3359,21583
split,transitorios,0084,128,22,427,2595
split,decreto,0085,0,7,94,580
split,ley,0085,7,75,2124,13139
split,transitorios,0085,82,17,427,2664
split,decreto,0086,0,5,72,407
split,ley,0086,5,1197,31590,203933
split,transitorios,0086,1202,47,1534,9434
split,decreto,0087,0,5,77,391
split,ley,0087,5,689,21853,139296
split,transitorios,0087,694,37,1024,6354
split,decreto,0088,0,7,78,484
split,ley,0088,7,135,4316,27213
split,transitorios,0088,142,137,3127,18157
split,decreto,0089,0,6,102,601
split,ley,0089,6,152,4353,28236
split,transitorios,0089,158,21,422,2552
split,decreto,0090,0,7,83,480
split,ley,0090,7,162,4290,28299
split,transitorios,0090,169,22,487,3004
split,decreto,0091,0,8,94,506
split,ley,0091,8,179,4255,27549
split,transitorios,0091,187,23,404,2422
split,decreto,0092,0,6,109,653
split,ley,0092,6,792,24687,157432
split,transitorios,0092,798,84,3185,20365
split,decreto,0093,0,8,88,509
split,ley,0093,8,264,5518,35393
split,transitorios,0093,272,30,549,3226
split,decreto,0094,0,8,84,483
split,ley,0094,8,240,5914,38370
split,transitorios,0094,248,40,781,4578
