stage,source_raw,base,lines,words,chars
clean,raw_0140.txt,0140,113,2615,16779
clean,raw_0141.txt,0141,167,3791,24892
clean,raw_0142.txt,0142,164,3938,25873
clean,raw_0143.txt,0143,222,5766,37179
clean,raw_0144.txt,0144,155,3035,19938
clean,raw_0145.txt,0145,231,4834,31926
clean,raw_0146.txt,0146,96,2265,13794
clean,raw_0147.txt,0147,150,3758,23474
clean,raw_0148.txt,0148,156,3532,22673
clean,raw_0149.txt,0149,415,11042,69978
clean,raw_0150.txt,0150,172,3330,21753
clean,raw_0151.txt,0151,167,4483,28731
clean,raw_0152.txt,0152,176,4274,27782
clean,raw_0153.txt,0153,99,1751,11211
clean,raw_0154.txt,0154,124,3105,19923
clean,raw_0155.txt,0155,119,2396,15450
clean,raw_0156.txt,0156,178,4368,27840
clean,raw_0157.txt,0157,105,2240,14512
clean,raw_0158.txt,0158,69,1403,9087
clean,raw_0159.txt,0159,111,2571,16578
clean,raw_0160.txt,0160,243,5209,33326
clean,raw_0161.txt,0161,153,3801,23941
clean,raw_0162.txt,0162,104,2757,17154
clean,raw_0163.txt,0163,67,1364,8412
clean,raw_0164.txt,0164,241,5205,32963
clean,raw_0165.txt,0165,178,2973,19133
clean,raw_0166.txt,0166,204,3913,25215
clean,raw_0167.txt,0167,199,3968,25758
clean,raw_0168.txt,0168,246,5544,36146
clean,raw_0169.txt,0169,174,3370,21766
clean,raw_0170.txt,0170,172,3234,20848
clean,raw_0171.txt,0171,177,2969,19101
clean,raw_0172.txt,0172,52,1829,11270
clean,raw_0173.txt,0173,126,4416,27202
clean,raw_0174.txt,0174,224,6328,40177
clean,raw_0175.txt,0175,266,6644,42423
clean,raw_0176.txt,0176,210,5899,36799
clean,raw_0177.txt,0177,51,1171,7329
clean,raw_0178.txt,0178,245,8651,54502
clean,raw_0179.txt,0179,248,6833,43152
clean,raw_0180.txt,0180,262,6497,41542
clean,raw_0181.txt,0181,311,9613,63427
