num_est,file_num,law_name,link
11,0001,Constitución Política del Estado de Guanajuato,https://mexico.justia.com/estatales/gto/constitucion-politica-del-estado-de-guanajuato/
11,0002,Código Civil para el Estado de Guanajuato,https://mexico.justia.com/estatales/guanajuato/codigos/codigo-civil-para-el-estado-de-guanajuato/
11,0003,Código de Procedimiento y Justicia Administrativa para el Estado y los Municipios de Guanajuato,https://mexico.justia.com/estatales/guanajuato/codigos/codigo-de-procedimiento-y-justicia-administrativa-para-el-estado-y-los-municipios-de-guanajuato/
11,0004,Código de Procedimientos Civiles para el Estado de Guanajuato,https://mexico.justia.com/estatales/guanajuato/codigos/codigo-de-procedimientos-civiles-para-el-estado-de-guanajuato/
11,0005,Código Fiscal para el Estado de Guanajuato,https://mexico.justia.com/estatales/guanajuato/codigos/codigo-fiscal-para-el-estado-de-guanajuato/
11,0006,Código Penal del Estado de Guanajuato,https://mexico.justia.com/estatales/guanajuato/codigos/codigo-penal-para-el-estado-de-guanajuato/
11,0007,Código Territorial para el Estado y los Municipios de Guanajuato,https://mexico.justia.com/estatales/guanajuato/codigos/codigo-territorial-para-el-estado-y-los-municipios-de-guanajuato/
11,0008,Ley Arancelaria para el Cobro de Honorarios Profesionales de Abogados y Notarios y de Costas Procesales para el Estado de Guanajuato,https://mexico.justia.com/estatales/guanajuato/leyes/ley-arancelaria-para-el-cobro-de-honorarios-profesionales-de-abogados-y-notarios-y-de-costas-procesales-para-el-estado-de-guanajuato/
11,0009,Ley de Acceso de las Mujeres a una Vida Libre de Violencia para el Estado de Guanajuato,https://mexico.justia.com/estatales/guanajuato/leyes/ley-de-acceso-de-las-mujeres-a-una-vida-libre-de-violencia-para-el-estado-de-guanajuato/
11,0010,Ley de Aparcería Agrícola y Ganadera del Estado de Guanajuato,https://mexico.justia.com/estatales/guanajuato/leyes/ley-de-aparceria-agricola-y-ganadera-del-estado-de-guanajuato/
11,0011,Ley de Archivos del Estado de Guanajuato,https://mexico.justia.com/estatales/guanajuato/leyes/ley-de-archivos-del-estado-de-guanajuato/
11,0012,Ley de Asistencia Social y Fortalecimiento Familiar  para el Estado de Guanajuato,https://mexico.justia.com/estatales/guanajuato/leyes/ley-de-asistencia-social-y-fortalecimiento-familiar-para-el-estado-de-guanajuato/
11,0013,Ley de Bebidas Alcohólicas para el Estado de Guanajuato y sus Municipios,https://mexico.justia.com/estatales/guanajuato/leyes/ley-de-bebidas-alcoholicas-para-el-estado-de-guanajuato-y-sus-municipios/
11,0014,Ley de Cambio Climático para el Estado de Guanajuato y sus Municipios,https://mexico.justia.com/estatales/guanajuato/leyes/ley-de-cambio-climatico-para-el-estado-de-guanajuato-y-sus-municipios/
